,Date,Open,High,Low,CloseClose price adjusted for splits.,Adj CloseAdjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
1176,"Sep 2, 2020",298.88,303.60,293.05,302.50,301.08,"24,341,400"
1177,"Sep 1, 2020",294.71,301.49,292.71,295.44,294.05,"17,295,900"
1178,"Aug 31, 2020",293.95,296.88,291.55,293.20,291.82,"17,345,100"
1179,"Aug 28, 2020",295.00,297.23,290.98,293.66,292.28,"17,157,400"
1180,"Aug 27, 2020",300.16,301.23,292.02,293.22,291.84,"30,301,300"
1181,"Aug 26, 2020",284.00,304.67,284.00,303.91,302.48,"69,015,200"
1182,"Aug 25, 2020",272.41,283.09,270.26,280.82,279.50,"42,127,200"
1183,"Aug 24, 2020",271.07,277.25,268.77,271.39,270.12,"23,685,600"
1184,"Aug 21, 2020",268.69,270.49,266.42,267.01,265.76,"15,538,600"
1185,"Aug 20, 2020",261.50,269.63,261.46,269.01,267.75,"20,299,700"
1186,"Aug 19, 2020",261.39,267.91,261.35,262.59,261.36,"23,291,500"
1187,"Aug 18, 2020",260.95,265.15,259.26,262.34,261.11,"18,690,400"
1188,"Aug 17, 2020",262.50,264.10,259.40,261.16,259.93,"13,351,100"
1189,"Aug 14, 2020",262.31,262.65,258.68,261.24,260.01,"14,792,700"
1190,"Aug 13, 2020",261.55,265.16,259.57,261.30,260.07,"17,374,000"
1191,"Aug 12, 2020",258.97,263.90,258.11,259.89,258.67,"21,415,700"
1192,"Aug 11, 2020",260.19,265.92,255.13,256.13,254.93,"28,238,300"
1193,"Aug 10, 2020",268.04,273.86,259.69,263.00,261.77,"30,248,800"
1194,"Aug 7, 2020",264.08,278.89,263.43,268.44,267.18,"72,766,400"
1195,"Aug 6, 2020",249.04,266.60,248.67,265.28,264.04,"45,241,600"
1196,"Aug 5, 2020",250.19,252.27,247.77,249.12,247.95,"13,050,100"
1197,"Aug 4, 2020",251.56,252.80,247.43,249.83,248.66,"17,183,500"
1198,"Aug 3, 2020",252.65,255.40,250.33,251.96,250.78,"23,124,900"
1199,"Jul 31, 2020",255.82,255.85,249.00,253.67,252.48,"53,005,100"
1200,"Jul 30, 2020",230.22,234.89,229.00,234.50,233.40,"20,615,300"
1201,"Jul 29, 2020",231.14,233.70,230.31,233.29,232.20,"13,588,300"
1202,"Jul 28, 2020",234.63,234.96,229.83,230.12,229.04,"14,170,100"
1203,"Jul 27, 2020",231.46,234.95,230.83,233.50,232.40,"13,163,100"
1204,"Jul 24, 2020",230.19,233.49,226.90,230.71,229.63,"18,325,800"
1205,"Jul 23, 2020",239.63,242.42,231.75,232.60,231.51,"21,771,800"
1206,"Jul 22, 2020",240.26,241.90,238.12,239.87,238.74,"15,427,900"
